question,answer
酒店的84楼有什么？,84楼更设有360度观景台
乔治·孔塔拉斯出生于哪里？,加拿大安大略省斯卡波罗
孔塔拉斯为什么会逐渐失去在大联盟出场的机会？,维克多·马丁内斯来到球队
为什么在雅典奥运会上，孔塔拉斯获得了代表希腊棒球队的资格？,由于孔塔拉斯的父母当年是从希腊移民加拿大，因此他获得代表希腊棒球队的资格，参加2004年雅典奥运。
昃臣道的地理位置在哪里？,昃臣道（）是香港香港岛中西区的一条街道，位于中环香港会及遮打花园以西，旧最高法院大楼及皇后像广场以东，爱丁堡广场及干诺道中以南，德辅道中以北。
昃臣道的名字来源于谁？,香港19世纪末著名银行家及议员汤玛士·昃臣爵士
哪一部电影曾在昃臣道拍过外景？,《英雄本色》
2008年经过昃臣道的奥林匹克运动会火炬接力手是谁？,范徐丽泰
昃臣道南段的停车场，有权泊车的车辆有什么特征？,有权泊车的车牌号码是AM、LC等字头的香港政府及立法会议员车辆
安卡拉战役发生在哪一年？,约在前239年，也可能在前240年
安卡拉战役是发生在哪个国家的内战？,塞琉古帝国
谁企图掌握整个帝国？,安条克
汉特-曼西自治区的官方语言是什么？,曼西语、汉特语和俄语都是汉特-曼西自治区的官方语言。
曼西人分布在哪儿？,曼西人分布在乌拉尔山以东的鄂毕河流域，即俄罗斯联邦秋明州的汉特-曼西自治区及其周边地区，也分布在秋明州。
曼西人与汉特人有什么差别？,与汉特人相比，曼西人受俄罗斯同化程度更深。
昌珉是韩国哪个组合的成员？,东方神起
昌珉是怎么进入韩国娱乐圈的？,中学时，在学校打羽毛球，被SM娱乐的星探发现，并进入韩国的SM娱乐。
帕拉克西龙是怎么被命名的？,帕拉克西龙是在2007年由Peter J. Rose所命名。其学名意为「帕拉克西蜥蜴」，是以德州胡德郡的帕拉克西镇与邻近的帕拉克西河为名。
帕拉克西龙化石在哪发现的？,美国德州胡德郡的双子山组地层
美军在哪儿修建了机场？,塞班岛及天宁岛
美军分别在几月攻占塞班岛及关岛和天宁岛？,美军在7月攻占塞班岛及在8月占领关岛和天宁岛
台湾香檬主要分布在哪里？,分布在台湾、琉球及关岛。
香檬有哪些独特成分？,川陈皮素、辛弗林、橘皮素、橙皮苷
《至Net奇兵：追求无限》这款游戏在什么平台上推出的？,Playstation Portable及Playstation 2
《至Net奇兵：追求无限》游戏主要情节是什么？,威廉因为被山拿控制而成为山拿的手下，为了令威廉回复清醒，所以Lyoko小组的五名Lyoko战士——亚烈达、杰理明、治狼、尤美及阿奇便继续和邪恶的山拿战斗，希望能够令威廉摆脱山拿控制回复清醒以及消灭山拿。
在数学里，对术语定义良好是如何界定的？,在数学里，术语定义良好（定义良好的 ，名词 ）用于确认用一组基本公理以数学或逻辑的方式定义的某个概念或对象（一个函数，性质，关系，等等）是完全无歧义的，满足它必需满足的那些性质。
在群论中，术语“定义良好”经常用于哪些方面？,在群论中，术语“定义良好”经常用于处理陪集时，陪集空间上的函数经常选取一个代表来定义：这时非常重要的是验证无论选取陪集的哪个代表，就像算术运算一样（比如，2加3总是5）我们总得到同样的结果。
"我们说 formula_1 是定义良好的如果图表交换，即 ""f"" 穿过 ""π""，这里 ""π""指什么？","这里 ""π"" 是典范投影映射 ""X"" → ""X""/~。"
"""θ""~""θ"" 如果存在整数 ""n"" 使得""θ""-""θ"" = 2π""n""，这里 π 指什么？",这里 π 为圆周率。
瓦尔迪斯· 东布洛夫斯基斯出生于哪儿？,里加
2002年至2004年瓦尔迪斯· 东布洛夫斯基斯担任什么职务？,财政部长
瓦尔迪斯· 东布洛夫斯基斯因为什么辞职？,2013年因为超市坍塌事件辞职。
区域广播也被称为什么？,简讯区域广播
小区广播技术首次出现在哪儿？,巴黎
醉猿生存在哪些地区？,生存在中新世的中国及巴基斯坦
醉猿的化石最初是由谁发现的？,李传夔
将化石以酒神和双沟为名的原因是什么？,由于当时李传夔是住在双沟的一间酒厂内，故将这些化石以希腊神话的酒神狄俄倪索斯来命名，并以双沟为种小名。
1990年发现的化石被命名为什么？,1990年发现了另一些醉猿化石，并名为东方醉猿。
醉猿为什么被分类在上猿科中？,醉猿最初被认为是属于原康修尔猿科，但更多的化石发现显示醉猿的牙齿更像树猿，故被分类在上猿科中。
塞拉纳岛最突出的是什么？,最突出的是西南部的珊瑚礁。
塞拉纳岛是哪个国家的领土？,哥伦比亚
塞拉纳岛这个名称首次出现在地图里是什么时候？,1545年
《卡美拉3 邪神觉醒》的导演是谁?,金子修介
《卡美拉3 邪神觉醒》为卡美拉系列电影的第多少部作品？,第11部
郑国光本科毕业于哪所大学？,南京气象学院大气探测专业本科毕业
1984年9月，郑国光担任什么职务？,1984年9月，任新疆自治区人工影响天气办公室研究室副主任。
1994年8月，郑国光在从事什么研究？,1994年8月，在加拿大多伦多大学从事博士后研究。
1994年7月获哪所大学的博士学位？,多伦多大学
1998年12月，郑国光担任什么职务？,1998年12月，任中国气象局监测网络司司长。
水绵的种类和大小是多少？,世界上大概有超过400种水绵，它们的宽度大概在10－100μm之间，长度最长可达数厘米。
水绵进行光合作用的条件是什么？,产生大量氧气泡
水绵细胞中央是由什么构成的？,细胞的中央是一个由叶绿体围绕的大液泡和细胞核，细胞核与细胞壁间连有数条胞质丝，因此细胞质看起来是放射状的。
世界跆拳道联盟和国技院是一个组织吗？,世界跆拳道联盟和国技院是两个分开的组织。
国技院，又称什么？,世界跆拳道总部
国技院位于哪里？,韩国首尔市江南区
国技院的功能有哪些？,包括负责跆拳道品、段考试及发放品、段证书，并且从事跆拳道的研究事务
中国沙滩排球队有多少人参加08年北京奥运会？,共计11人（不含兼任），其中男运动员2人，女运动员4人，官员与工作人员5人
中国沙滩排球队取得几个奥运参赛席位资格？,中国沙滩排球队共有女子2个组、男子1个组获得资格，共获3个奥运参赛席位资格
拜耳斯坦数据库的英文名是什么？,Beilstein database
拜耳斯坦数据库分为哪两种？,它分为拜耳斯坦文摘数据库和拜耳斯坦有机化学结构及数据两部分
拜耳斯坦数据库的前身是什么？,数据库的前身是俄国人弗里德里希·拜耳斯坦于1881年创办的“拜耳斯坦有机化学手册”。
2006年，拜耳斯坦数据库里的记录发生了什么变化？,2006年第2次更新时，拜耳斯坦数据库中的化学反应记录增加到1千万。
2007年，拜耳斯坦数据库里的记录发生了什么变化？,2007年第3次更新后，数据库中的化合物记录增加到1千万。
矽谷毒物联盟是什么？,"矽谷毒物联盟(英文：The Silicon Valley Toxics Coalition,SVTC)根据地在美国加州的圣荷西，是促进高科技产业落实安全环境措施的咨询与研究团体，于1982年成立。"
联盟创始成员有哪些？,联盟创始成员包括高科技产业员工、社区成员、执法人员、紧急救护人员，以及环保人士。
2007年，矽谷毒物联盟与台湾有哪些交往？,2007年台湾环境行动网协会再度邀请矽谷毒物联盟来台，并安排其探访台南二仁溪沿岸的电子废弃物污染状况。
矽谷毒物联盟出版的书籍包括哪些范围？,矽谷毒物联盟并陆续出版相关主题的书籍，从事议题并包括电脑回收、奈米科技潜藏危害等。
美国有宪法上的独立地位和法人代表权吗？,内阁不过是总统的辅助结构和下属，没有宪法上的独立地位和法人代表权。
美国内阁的简称是什么？,内阁（Cabinet）
美国内阁为什么成了一个常态存在？,美国宪法并没有规定内阁的必然存在，不过，从华盛顿开始，历届总统都设立内阁辅助其行使行政权。所以，美国内阁就成了一个常态存在。
白荡湖的什么产量最大？,大闸蟹
白荡湖是怎样形成的？,系由长江古河床摆动废弃的洼地积水而成。
白荡湖有多大？,白荡湖原有面积近100平方公里，经过近五十年的围垦，目前面积缩小为39.67平方公里，
莫里斯出生于哪里？,英国皇家属地曼岛的首府道格拉斯
莫里斯在吉布斯家族五姐弟中排行第几？,第四
莫里斯组建的乐队有哪些杰出成就？,是20世纪摇滚乐和迪斯科高峰时间的代表乐团，开创了多种新颖的演唱方式，影响十分深远，成为史上最成功的其中一支乐队。
莫里斯在乐队中扮演什么角色？,莫里斯在乐队中专司乐器演奏和作曲。
莫里斯因为什么疾病而去世？,肠扭曲
瑛误会简欺骗自己，之后发生了什么？,伤心欲绝，激动地驾车，岂料堕崖身亡。
《侬本多情》的监制是谁？,吴昊
别里古台的父母是谁？,速该与速赤吉勒
别里古台的弟兄叫什么？,别克帖儿
别里古台与铁木真失和，为什么又会顺服他？,幼年时别里古台与别克铁儿友好，两人与铁木真失和，争夺猎物，铁木真刺杀之，从此别里古台顺服铁木真。
《元史》记载中，别里古台是个什么样的人？,据《元史》记载他为人忠厚，不喜欢喧哗，但同时领兵带将足智多谋，勇武过人。
别里古台的儿子分别叫什么？,别里古台有三个儿子：罕秃忽、也速不花（子爪都）和口温不花（孙广宁王彻里帖木儿、曾孙定王薛彻干）。
PCX是哪家公司开发的？,美国乔治亚州的ZSoft公司
PCX代表什么？,PCX代表PC Paintbrush Exchange
PCX现在被哪些影像格式所取代？,这种使用格式已经被其他更复杂的影像格式如GIF、JPEG、PNG渐渐取代
显示硬体方面的资讯包括哪些？,显示硬体方面的资讯（萤幕解析度、颜色深度、色盘资讯、位元平面（bit planes）等）
横滨飞翼是什么？,是一间于1993年至1999年参加日本职业足球联赛的日本球队。球队原称全日本空输足球队，并且参加了日本足球联赛。
横滨飞翼为什么这么出名？,尽管球队从未取得过日本足球联赛或日本职业足球联赛冠军，飞翼却赢得多项的重要锦标，包括天皇杯、亚洲杯赛冠军杯和亚洲超级杯。
横滨水手和横滨飞翼是什么关系？,1998年，由于有球队投资者撤走资金，球队最大的赞助商全日本空输与日产汽车商讨成立新横滨水手，把两间同样位于横滨的横滨水手和横滨飞翼合并，飞翼的球员亦成为了新水手队的球员。
日本首间由球迷拥有和经营的球会是什么？,FC横滨
2008年瑞典足球超级联赛起讫于什么时候？,2008年3月30日开始，至2008年11月9日结束
本届赛事首次有多少支球队参与角逐？,16队
本届赛事冠军花落谁家？,卡尔马
为什么一般认为黑雾解散是成功的？,。因为在一个月之后举行的第31回众议院议员选举中，自民党不仅没有像外界预料中那样大幅减少议席，保守派所得的总议席反而还有所增加，达到绝对多数；反观社会党却在大选中惨败。
